Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,43,55,45,20,10,15,5,15,100,100
Neck,37,37,25,15,10,10,10,10,0,100
Throat,65,45,45,25,10,15,10,10,0,100
Back,45,45,35,20,5,10,10,10,0,100
Body,23,23,18,15,5,10,10,10,0,100
Forelegs,23,23,18,15,5,5,5,5,0,100
Hindlegs,30,30,25,15,5,10,5,5,0,100
Tail (Base),37,32,25,20,10,15,10,10,0,100
Tail,37,32,25,25,10,15,10,10,0,100
Tail (Crystalized),18,24,15,35,5,20,5,5,0,100
Tail (Sharpened),65,60,50,20,10,10,10,15,0,100
