Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head (Fire),85,85,30,0,10,3,14,1,100,100
Neck (Fire),85,85,30,0,10,3,14,1,0,100
Body (Fire),20,25,45,0,5,1,7,0,0,100
Wings (Fire),35,35,25,0,13,4,18,1,0,100
Arms (Fire),60,60,20,0,16,5,22,2,0,100
Legs (Fire),40,40,25,0,13,4,18,1,0,100
Tail (Fire),40,35,40,0,8,2,11,1,0,100
Head (Ice),85,85,30,14,3,10,0,1,100,100
Neck (Ice),85,85,30,14,3,10,0,1,0,100
Body (Ice),20,25,45,7,1,5,0,0,0,100
Wings (Ice),35,35,25,18,4,13,0,1,0,100
Arms (Ice),60,60,20,22,5,16,0,2,0,100
Legs (Ice),40,40,25,18,4,13,0,1,0,100
Tail (Ice),40,35,40,11,2,8,0,1,0,100
Head (Dragon),85,85,30,6,5,5,6,9,100,100
Neck (Dragon),85,85,30,6,5,5,6,9,0,100
Body (Dragon),20,25,45,3,2,2,3,4,0,100
Wings (Dragon),35,35,25,8,6,6,8,11,0,100
Arms (Dragon),60,60,20,10,8,8,10,14,0,100
Legs (Dragon),40,40,25,8,6,6,8,11,0,100
Tail (Dragon),40,35,40,5,4,4,5,7,0,100
Head (No Element),85,85,30,13,10,10,13,13,100,100
Neck (No Element),85,85,30,13,10,10,13,13,0,100
Body (No Element),20,25,45,7,5,5,7,7,0,100
Wings (No Element),35,35,25,17,13,13,17,17,0,100
Arms (No Element),60,60,20,20,16,16,20,20,0,100
Legs (No Element),40,40,25,17,13,13,17,17,0,100
Tail (No Element),40,35,40,10,8,8,10,10,0,100
