Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Nose,80,75,90,0,30,15,20,10,100,100
Head,70,70,65,0,25,10,15,5,100,100
Neck,30,30,10,0,20,5,15,5,0,100
Wings,80,45,90,0,30,15,20,10,0,100
Body,30,30,45,0,15,5,10,0,0,100
Legs,30,30,10,0,15,5,10,0,0,100
Tail,60,60,75,0,20,10,15,5,0,100
Legs (Wounded),45,45,50,0,15,5,10,0,0,100
Tail (Wounded),60,60,75,0,20,10,15,5,0,100
Nose (Iceborne),65,63,55,0,30,15,20,10,100,100
Head (Iceborne),60,60,45,0,25,10,15,5,100,100
Wings (Iceborne),63,45,55,0,30,15,20,10,0,100
Legs (Iceborne),21,21,15,0,15,5,10,0,0,100
