Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,22,25,10,20,0,0,15,10,100,100
Head (Mud),20,24,9,0,80,0,15,10,100,100
Body,46,46,50,20,0,0,10,5,0,100
Body (Mud),24,24,20,0,80,0,15,10,0,100
Arms,80,85,75,30,0,0,10,5,0,100
Arms (Mud),35,38,30,0,80,0,15,10,0,100
Legs,40,35,25,20,0,0,10,5,0,100
Legs (Mud),24,24,20,0,80,0,15,10,0,100
Tail,55,50,40,25,0,0,15,10,0,100
Tail (Mud),25,25,22,0,80,0,15,10,0,100
Head (Mud) (Iceborne),19,23,8,0,45,0,10,5,100,100
Body (Mud) (Iceborne),20,20,18,0,45,0,10,5,0,100
Arms (Mud) (Iceborne),33,36,28,0,45,0,10,5,0,100
Legs (Mud) (Iceborne),23,23,19,0,45,0,10,5,0,100
Tail (Mud) (Iceborne),23,23,19,0,45,0,10,5,0,100
Head (Iceborne),20,22,10,20,0,0,15,10,100,100
Arms (Iceborne),65,70,60,30,0,0,10,5,0,100
Legs (Iceborne),36,35,25,20,0,0,10,5,0,100
