Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horns,19,37,15,0,20,10,25,0,100,100
Head,43,55,30,0,25,10,30,0,100,100
Neck,40,40,25,0,15,5,20,0,0,100
Stomach,63,68,35,0,30,10,35,0,0,100
Back,24,42,30,0,20,10,25,0,0,100
Wings,40,30,60,0,25,10,30,0,0,100
Legs,35,35,35,0,10,5,15,0,0,100
Tail,45,24,45,0,20,10,15,0,0,100
Tail Tip,20,24,10,0,20,10,25,0,0,100
Horns (Iceborne),18,29,15,0,20,10,25,0,100,100
Tail Tip (Iceborne),19,20,10,0,20,10,25,0,0,100
Head (Iceborne),58,63,32,0,30,10,35,0,0,100
