Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,65,75,50,15,5,10,15,0,100,100
Head (Broken),75,85,60,20,5,10,15,25,100,100
Neck,30,30,25,10,5,5,10,15,0,100
Chest,30,30,25,10,5,5,10,15,0,100
Stomach,35,40,25,15,5,5,10,0,0,100
Stomach (Broken),45,50,35,20,5,10,15,25,0,100
Back,25,24,20,15,5,5,10,0,0,100
Back (Broken),45,45,30,20,5,10,15,25,0,100
Tail,30,24,30,15,5,10,10,15,0,100
Tail Tip,50,25,40,15,5,10,10,15,0,100
Hindlegs,23,23,20,5,0,0,0,5,0,100
Forelegs,45,40,20,10,0,0,5,5,0,100
Forelegs (Broken),50,45,30,15,5,5,10,20,0,100
Wings,23,23,25,15,5,10,10,15,0,100
Spore Sac,60,65,45,15,10,10,10,20,0,100
Spore Sac (Tail),60,55,45,15,10,10,10,20,0,100
