Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,60,70,60,10,10,15,5,15,100,100
Head (Enraged),45,50,45,15,15,20,10,20,100,100
Body,25,25,25,5,5,20,5,20,0,100
Body (Enraged),22,22,20,10,10,25,10,25,0,100
Chest,37,37,35,15,15,20,10,20,0,100
Chest (Enraged),75,75,70,20,20,25,15,25,0,100
Lower Body,30,30,30,5,5,20,5,20,0,100
Lower Body (Enraged),25,25,25,10,10,25,10,25,0,100
Arms,30,30,30,10,10,15,5,15,0,100
Arms (Enraged),25,25,25,15,15,20,10,20,0,100
Legs,45,38,35,5,5,10,5,10,0,100
Legs (Enraged),24,25,25,10,10,15,10,15,0,100
Tail,40,35,25,5,5,20,5,20,0,100
Tail (Enraged),25,24,20,10,10,25,10,25,0,100
