Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horns,21,42,20,0,20,10,25,20,100,100
Head,45,63,40,0,25,10,30,25,100,100
Neck,40,40,25,0,15,5,20,15,0,100
Stomach,73,78,40,0,30,10,35,30,0,100
Back,24,42,35,0,20,10,25,20,0,100
Wings,40,30,60,0,25,10,30,25,0,100
Legs,35,35,35,0,10,5,15,10,0,100
Tail,50,24,45,0,20,10,15,20,0,100
Tail Tip,23,33,10,0,20,10,25,20,0,100
Horns (Iceborne),19,38,18,0,20,10,25,20,100,100
Tail Tip (Iceborne),20,26,10,0,20,10,25,20,0,100
Head (Iceborne),45,57,35,0,25,10,30,25,100,100
Stomach (Iceborne),65,70,35,0,30,10,35,30,0,100
