Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,35,35,25,0,20,30,20,10,100,100
Neck,30,30,20,0,10,25,10,5,100,100
Head (Rock 1),75,75,65,0,20,30,20,10,100,100
Neck (Rock 1),65,65,55,0,10,25,10,5,100,100
Head (Rock 2),100,100,90,0,20,30,20,10,100,100
Neck (Rock 2),90,90,80,0,10,25,10,5,100,100
Body,45,45,40,0,5,10,5,5,0,100
Back,45,45,40,0,5,10,5,5,0,100
Forelegs,45,45,40,0,5,10,5,5,0,100
Hindlegs,45,45,40,0,5,10,5,5,0,100
Tail,60,60,50,0,10,15,10,5,0,100
Head (Rock 1) (Iceborne),60,60,52,0,20,30,20,10,100,100
Neck (Rock 1) (Iceborne),52,52,45,0,10,25,10,5,100,100
Head (Rock 2) (Iceborne),80,80,72,0,20,30,20,10,100,100
Neck (Rock 2) (Iceborne),72,72,64,0,10,25,10,5,100,100
Tail (Iceborne),48,48,45,0,10,15,10,5,0,100
