Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,43,45,45,25,35,25,25,5,100,100
Head (Broken),65,75,55,20,25,20,20,5,100,100
Neck,25,30,25,15,20,15,15,5,100,100
Body,25,25,20,10,15,10,10,5,0,100
Back,25,25,20,10,15,10,10,5,0,100
Forelegs,34,38,30,20,30,20,20,5,0,100
Forelegs (Broken),45,45,40,10,20,10,10,5,0,100
Hindlegs,30,30,25,20,30,20,20,5,0,100
Hindlegs (Broken),50,50,40,10,20,10,10,5,0,100
Tail,25,22,25,20,30,20,20,5,0,100
Tail (Broken),50,45,45,10,15,10,10,5,0,100
Tail Tip,45,30,40,15,20,15,15,5,0,100
