Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Nose,65,60,55,15,20,0,30,10,100,100
Head,60,60,45,10,15,0,25,5,100,100
Neck,30,30,10,5,15,0,20,5,0,100
Wings,65,45,55,15,20,0,30,10,0,100
Torso,30,30,45,5,10,0,15,0,0,100
Leg,30,30,10,5,10,0,15,0,0,100
Tail,60,60,75,10,15,0,20,5,0,100
Leg (Broken),45,45,50,5,15,0,15,0,0,100
Tail (Broken),60,60,75,10,15,0,15,5,0,100
,30,30,10,5,10,0,15,0,0,100
Nose (Charged),65,60,55,15,35,0,20,10,100,100
Head (Charged),55,55,45,10,25,0,15,5,100,100
Neck (Charged),23,23,10,5,20,0,15,5,0,100
Wings (Charged),55,40,50,15,35,0,20,10,0,100
Torso (Charged),23,23,40,5,15,0,10,0,0,100
Leg (Charged),35,35,15,5,15,0,10,0,0,100
Tail (Charged),55,55,70,10,20,0,15,5,0,100
