Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,63,63,63,5,0,10,5,5,100,100
Neck,43,43,43,5,0,10,5,5,0,100
Body,35,35,35,10,0,25,5,5,0,100
Back,25,25,25,5,0,15,5,5,0,100
Fin,25,25,25,10,0,20,5,5,0,100
Legs,30,30,25,15,0,30,5,5,0,100
Tail,55,50,45,5,0,10,5,5,0,100
Head (Mud),50,50,40,0,25,0,5,5,100,100
Body (Mud),30,30,25,0,25,0,5,5,0,100
Legs (Mud),35,35,30,0,25,0,5,5,0,100
Tail (Mud),50,50,40,0,25,0,5,5,0,100
Head (Mud) (Iceborne),23,23,23,0,25,0,5,5,100,100
Body (Mud) (Iceborne),21,21,21,0,25,0,5,5,0,100
Legs (Mud) (Iceborne),21,21,21,0,25,0,5,5,0,100
Tail (Mud) (Iceborne),23,23,23,0,25,0,5,5,0,100
Head (Iceborne),58,58,58,5,0,10,5,5,100,100
Back (Iceborne),24,24,24,5,0,15,5,5,0,100
