Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horns,80,85,25,0,30,0,50,35,100,100
Chest,50,45,45,0,20,0,40,25,0,100
Body,35,35,20,0,10,0,30,15,0,100
Forelegs,50,40,30,0,20,0,40,25,0,100
Hindlegs,40,35,15,0,10,0,30,15,0,100
Tail,40,45,20,0,10,0,30,15,0,100
Head,25,30,10,5,10,25,0,5,100,100
Tail,25,30,10,5,10,25,0,5,0,100
Head (Wounded),60,75,30,25,30,50,0,25,100,100
Head (Wounded),60,75,30,25,30,50,0,25,0,100
Horns (Iceborne),90,95,20,0,10,0,20,15,100,100
Chest (Iceborne),65,65,45,0,5,0,10,5,0,100
Body (Iceborne),35,35,20,0,5,0,10,5,0,100
Forelegs (Iceborne),70,65,25,0,10,0,20,15,0,100
Hindlegs (Iceborne),50,50,15,0,5,0,15,10,0,100
Tail (Iceborne),50,40,20,0,5,0,15,10,0,100
Head (Iceborne),20,25,10,0,5,10,0,0,100,100
Tail (Iceborne),20,25,10,0,5,10,0,0,0,100
Head (Wounded) (Iceborne),80,85,30,10,15,20,0,10,100,100
Head (Wounded) (Iceborne),80,85,30,10,15,20,0,10,0,100
