Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,40,60,45,0,7,7,30,25,100,100
Neck,33,38,33,0,3,3,20,15,0,100
Body,20,20,20,0,0,0,15,10,0,100
Back,20,20,20,0,0,0,15,10,0,100
Forelegs,25,30,20,0,3,3,15,10,0,100
Hindlegs,30,25,20,0,3,3,15,10,0,100
Wings,55,35,40,0,7,7,25,20,0,100
Tail,45,38,55,0,3,3,20,15,0,100
Head (Iceborne),37,60,45,0,7,7,30,25,100,100
Neck (Iceborne),33,37,33,0,3,3,20,15,0,100
Body (Iceborne),17,17,20,0,0,0,15,10,0,100
Back (Iceborne),17,17,20,0,0,0,15,10,0,100
Forelegs (Iceborne),25,30,20,0,3,3,15,10,0,100
Hindlegs (Iceborne),30,25,20,0,3,3,15,10,0,100
Wings (Iceborne),55,35,40,0,7,7,25,20,0,100
Tail (Iceborne),45,37,50,0,3,3,20,15,0,100
