Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,60,65,50,5,0,0,5,10,100,100
Neck,45,40,45,10,0,0,5,5,0,100
Stomach,40,60,50,10,0,0,5,10,0,100
Back,30,30,45,10,0,0,5,10,0,100
Tail,40,35,30,10,0,0,5,15,0,100
Forelegs,65,55,30,5,0,0,5,10,0,100
Hindlegs,25,25,25,5,0,0,5,5,0,100
Wings,35,35,30,10,0,0,5,15,0,100
Head (Water),40,40,25,40,0,0,15,30,100,100
Neck (Water),25,25,40,25,0,0,10,15,0,100
Stomach (Water),30,45,45,20,0,0,15,15,0,100
Back (Water),25,25,30,30,0,0,10,20,0,100
Tail (Water),25,25,25,25,0,0,10,15,0,100
Forelegs (Water),45,35,20,10,0,0,15,10,0,100
Hindlegs (Water),20,20,20,10,0,0,5,5,0,100
Wings (Water),25,25,20,30,5,0,20,20,0,100
