Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horn,20,25,35,5,15,20,0,10,100,100
Horn (Wounded),35,40,45,5,15,20,0,5,100,100
Head,45,60,40,5,10,15,15,5,100,100
Body,35,30,35,0,0,10,5,5,0,100
Back,30,35,30,0,0,10,5,5,0,100
Forearms,50,45,40,5,5,15,0,5,0,100
Hindlegs,35,30,35,0,0,10,5,5,0,100
Wings,40,30,30,10,5,10,5,10,0,100
Tail,60,45,25,10,5,10,5,5,0,100
Tail Tip,45,35,25,15,5,15,5,10,0,100
Head (White),75,90,70,5,10,15,15,5,100,100
Head (Black),20,25,15,5,10,20,15,10,100,100
Head (Gloss Black),20,25,15,5,10,20,15,10,100,100
Forearms (White),70,60,55,5,5,15,0,5,0,100
Forearms (Black),10,15,10,5,5,20,0,10,0,100
Forearms (Gloss Black),10,15,10,5,5,20,0,10,0,100
Tail Tip (White),55,45,45,10,5,10,5,15,0,100
Tail Tip (Black),28,25,25,10,5,15,5,20,0,100
Tail Tip (Gloss Black),28,25,25,10,5,15,5,20,0,100
Wings (White),65,55,40,15,5,15,5,10,0,100
Wings (Black),25,20,10,15,5,20,5,15,0,100
Wings (Gloss Black),25,20,10,15,5,20,5,15,0,100
