Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,70,75,65,10,15,20,30,0,100,100
Neck,40,45,35,0,5,10,20,0,100,100
Body,30,30,25,0,0,5,15,0,0,100
Back,30,30,25,0,0,5,15,0,0,100
Forelegs,55,50,45,5,10,15,25,0,0,100
Hindlegs,45,40,35,5,10,15,25,0,0,100
Tail,45,40,35,5,5,10,20,0,0,100
Head (Iceborne),60,65,55,10,15,20,30,0,100,100
Neck (Iceborne),36,45,32,0,5,10,20,0,100,100
Hindlegs (Iceborne),45,36,32,5,10,15,25,0,0,100
Tail (Iceborne),45,36,32,5,5,10,20,0,0,100
