Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,60,65,55,0,15,20,15,30,100,100
Neck,30,35,25,0,0,5,0,15,0,100
Body,22,22,20,0,5,10,5,20,0,100
Back,22,22,20,0,5,10,5,20,0,100
Wings,50,45,40,0,10,15,10,25,0,100
Legs,40,40,35,0,0,5,0,15,0,100
Tail,20,25,20,0,5,10,5,20,0,100
Tail Tip,50,45,40,0,5,10,5,20,0,100
Body (Iceborne),20,20,20,0,5,10,5,20,0,100
Back (Iceborne),20,20,20,0,5,10,5,20,0,100
Legs (Iceborne),37,37,35,0,0,5,0,15,0,100
Tail (Iceborne),18,18,20,0,5,10,5,20,0,100
