Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horn,60,65,45,0,10,10,25,5,100,100
Head,60,65,50,0,5,10,15,5,100,100
Neck,32,32,30,0,5,5,10,5,0,100
Body,32,32,30,0,10,5,15,0,0,100
Arms,55,50,45,0,10,5,25,0,0,100
Legs,32,32,30,0,5,5,10,0,0,100
Tail,50,45,55,0,10,10,15,5,0,100
Tail Tip,18,30,10,0,10,5,25,10,0,100
Horn (Flashpoint Slime),75,75,10,0,20,0,5,0,100,100
Forearms (Flashpoint Slime),75,75,10,0,20,0,5,0,0,100
Tail Tip (Flashpoint Slime),75,75,10,0,20,0,5,0,0,100
