Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,70,75,65,0,15,20,15,30,100,100
Neck,40,45,35,0,0,5,0,15,0,100
Body,35,30,25,0,5,10,5,20,0,100
Back,35,30,25,0,5,10,5,20,0,100
Wings,55,50,45,0,10,15,10,25,0,100
Legs,40,40,35,0,0,5,0,15,0,100
Tail,45,40,35,0,5,10,5,20,0,100
Head (Iceborne),60,65,45,0,15,20,15,30,100,100
Neck (Iceborne),37,45,30,0,0,5,0,15,0,100
Wings (Iceborne),21,21,45,0,10,15,10,25,0,100
Legs (Iceborne),37,37,25,0,0,5,0,15,0,100
Tail (Iceborne),45,37,30,0,5,10,5,20,0,100
