Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Horns,20,25,35,5,15,15,0,20,100,100
Horns (Broken),35,40,45,5,15,15,0,20,100,100
Head,45,60,45,5,10,10,15,15,100,100
Stomach,35,30,35,0,0,10,5,10,0,100
Back,30,35,30,0,0,10,5,10,0,100
Forearms,50,45,40,5,5,15,0,15,0,100
Hindlegs,35,30,35,0,0,10,5,10,0,100
Wings,40,30,30,10,5,10,5,10,0,100
Tail,45,35,25,10,5,10,5,10,0,100
Tail Tip,45,35,25,15,5,15,5,15,0,100
Head (White),75,90,60,5,10,15,15,15,100,100
Head (Black),20,25,15,5,10,20,15,20,100,100
,20,25,15,5,10,20,15,20,100,100
Forearms (White),70,60,55,5,5,15,0,15,0,100
Forearms (Black),20,25,15,15,5,15,5,20,0,100
,20,25,15,15,5,15,5,20,0,100
Wings (White),55,45,45,10,5,10,5,15,0,100
Wings (Black),28,25,25,10,5,15,5,20,0,100
,28,25,25,10,5,15,5,20,0,100
Tail Tip (White),65,55,45,15,5,15,5,15,0,100
Tail Tip (Black),10,15,15,5,5,15,0,20,0,100
,10,15,15,5,5,15,0,20,0,100
