Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,24,34,25,25,25,25,25,25,100,100
Snout,24,34,3,15,15,15,15,15,100,100
Neck,25,25,3,1,1,1,1,1,0,100
Body,18,18,3,1,1,1,1,1,0,100
Back,45,45,3,15,15,15,15,15,0,100
Chest,20,20,3,1,1,1,1,1,0,100
Forelegs,34,23,18,20,20,20,20,20,0,100
Forefeet,34,23,18,10,10,10,10,10,0,100
Hindlegs,18,34,18,20,20,20,20,20,0,100
Hindfeet,18,34,18,15,15,15,15,15,0,100
Wings,20,30,45,15,15,15,15,15,0,100
Wing Webbings,20,20,10,5,5,5,5,5,0,100
Wing Tips,20,20,10,15,15,15,15,15,0,100
Tail Tip,21,34,15,20,20,20,20,20,0,100
Tail,18,34,3,1,1,1,1,1,0,100
Head (Broken),45,51,35,25,25,25,25,25,100,100
Snout (Broken),45,51,3,15,15,15,15,15,100,100
Chest (Broken),38,38,15,10,10,10,10,10,0,100
Forelegs (Broken),38,35,25,20,20,20,20,20,0,100
Forefeet (Broken),38,35,25,10,10,10,10,10,0,100
Hindlegs (Broken),33,40,25,20,20,20,20,20,0,100
Hindfeet (Broken),33,40,25,15,15,15,15,15,0,100
Wings (Broken),25,35,45,15,15,15,15,15,0,100
Wing Webbings (Broken),25,25,12,5,5,5,5,5,0,100
Wing Tips (Broken),25,25,12,15,15,15,15,15,0,100
Tail Tip (Broken),46,40,20,20,20,20,20,20,0,100
Tail (Broken),20,40,7,1,1,1,1,1,0,100
Head (Critical),63,58,38,30,30,30,30,30,100,100
Snout (Critical),63,58,10,20,20,20,20,20,100,100
Neck (Critical),33,33,7,3,3,3,3,3,0,100
Body (Critical),30,30,7,3,3,3,3,3,0,100
Back (Critical),50,50,7,20,20,20,20,20,0,100
Chest (Critical),75,75,45,30,30,30,30,30,0,100
Forelegs (Critical),45,65,27,25,25,25,25,25,0,100
Forefeet (Critical),45,65,27,20,20,20,20,20,0,100
Hindlegs (Critical),60,46,30,25,25,25,25,25,0,100
Hindfeet (Critical),60,46,30,20,20,20,20,20,0,100
Wings (Critical),50,65,46,20,20,20,20,20,0,100
Wing Webbings (Critical),50,65,15,10,10,10,10,10,0,100
Wing Tips (Critical),50,65,15,20,20,20,20,20,0,100
Tail Tip (Critical),65,55,35,25,25,25,25,25,0,100
Tail (Critical),24,55,10,3,3,3,3,3,0,100
Head,68,64,48,30,30,30,30,30,100,100
Snout,68,64,10,20,20,20,20,20,100,100
