Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,55,55,50,10,13,15,10,0,100,100
Neck,50,50,45,8,10,13,8,0,100,100
Torso,30,30,20,5,8,10,5,0,0,100
Back,30,30,20,3,8,10,3,0,0,100
Forelegs,50,50,45,10,13,15,10,0,0,100
Hindlegs,30,30,20,5,8,10,5,0,0,100
Tail,40,40,35,8,10,13,8,0,0,100
Head (Charged),45,45,45,20,25,30,20,0,100,100
Neck (Charged),38,38,33,15,20,25,15,0,100,100
Torso (Charged),25,25,15,10,15,20,10,0,0,100
Back (Charged),50,50,50,0,0,0,0,0,0,100
Forelegs (Charged),38,38,33,20,25,30,20,0,0,100
Hindlegs (Charged),25,25,15,10,15,20,10,0,0,100
Tail (Charged),35,35,25,15,20,25,15,0,0,100
