Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,60,60,50,10,20,0,10,5,100,100
Neck,60,60,50,10,20,0,10,5,50,100
Body,45,45,35,5,15,0,5,0,0,100
Back,45,45,60,5,15,0,5,0,0,100
Forelegs,35,35,15,5,15,0,5,0,0,100
Hindlegs,30,30,10,5,15,0,5,0,0,100
Tail,80,80,70,20,30,0,20,15,0,100
Head (Iceborne),48,48,45,10,20,0,10,5,100,100
Neck (Iceborne),48,48,45,10,20,0,10,5,50,100
Back (Iceborne),45,45,48,5,15,0,5,0,0,100
Tail (Iceborne),65,65,55,20,30,0,20,15,0,100
