Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,70,80,50,0,20,15,15,20,100,100
Jaw,19,20,10,0,40,5,20,30,100,100
Jaw (Wounded),55,60,40,0,20,5,15,20,100,100
Upper Neck,22,24,10,0,15,0,10,15,0,100
Lower Neck,25,30,25,0,20,0,10,15,0,100
Body,50,45,45,0,30,5,15,30,0,100
Back,22,24,10,0,15,0,10,15,0,100
Forearms,25,30,20,0,15,0,10,15,0,100
Hindlegs,45,40,20,0,15,0,10,15,0,100
Tail (Top),25,25,15,0,15,0,10,15,0,100
Tail (Bottom),35,30,25,0,25,5,10,20,0,100
Tail Tip,25,25,15,0,35,0,15,25,0,100
Head (Iceborne),60,65,45,0,20,15,15,20,100,100
Jaw (Iceborne),18,19,10,0,40,5,20,30,100,100
Back (Iceborne),20,24,15,0,15,0,10,15,0,100
 (Iceborne),20,24,15,0,15,0,10,15,0,100
Hindlegs (Iceborne),43,37,20,0,15,0,10,15,0,100
