Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,50,40,50,25,5,10,15,0,100,100
Neck,45,40,30,15,5,10,10,15,0,100
Chest,50,45,45,15,5,10,15,15,0,100
Stomach,50,40,45,20,5,10,15,0,0,100
Back,45,35,35,20,5,10,15,0,0,100
Tail,35,30,30,20,5,10,15,0,0,100
Tail Tip,60,30,50,20,5,10,15,0,0,100
Hindlegs,25,25,20,5,0,0,0,5,0,100
Forelegs,45,40,35,20,0,5,10,5,0,100
Wings,24,23,30,15,5,10,10,15,0,100
Head (Wounded),70,80,60,25,5,10,15,25,100,100
Stomach (Wounded),60,70,40,25,5,10,15,25,0,100
Back (Wounded),55,65,40,25,5,10,15,25,0,100
Forelegs (Wounded),55,50,45,20,5,5,10,20,0,100
