Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,70,70,55,20,10,10,10,20,100,100
Neck,30,30,25,15,10,10,10,15,0,100
Body,25,25,25,15,10,10,10,15,0,100
Chest,60,60,30,20,10,10,10,20,0,100
Forelegs,50,50,45,20,10,10,10,20,0,100
Hindlegs,22,22,15,10,5,5,5,10,0,100
Wings,50,50,30,15,10,10,10,15,0,100
Tail,25,25,15,10,5,5,5,10,0,100
Tail Tip,70,70,45,20,10,10,10,20,0,100
Head (Wounded),80,80,60,20,10,10,10,20,100,100
Forelegs (Wounded),60,60,50,20,10,10,10,20,0,100
Wings (Wounded),60,60,40,15,10,10,10,15,0,100
Head (Critical State),80,100,60,15,30,30,30,15,100,100
Neck (Critical State),50,50,30,15,30,30,30,15,0,100
Body (Critical State),60,60,40,15,30,30,30,15,0,100
Chest (Critical State),100,80,70,15,30,30,30,15,0,100
Forelegs (Critical State),70,90,60,15,30,30,30,15,0,100
Hindlegs (Critical State),50,50,40,10,20,20,20,10,0,100
Wings (Critical State),100,80,50,15,30,30,30,15,0,100
Tail (Critical State),50,50,30,10,20,20,20,10,0,100
Tail Tip (Critical State),90,90,60,15,30,30,30,15,0,100
