Part,Sever,Blunt,Ranged,Fire,Water,Thunder,Ice,Dragon,Stun,Stamina
Head,45,45,50,5,10,0,15,5,100,100
Neck,40,40,45,5,10,0,15,5,100,100
Torso,30,30,20,0,5,0,5,0,0,100
Back,30,30,20,0,5,0,10,0,0,100
Forelegs,40,40,35,5,10,0,15,5,0,100
Hindlegs,30,30,20,0,5,0,5,0,0,100
Tail,30,30,20,0,5,0,10,0,0,100
Head (Charged),65,65,55,10,20,0,25,10,100,100
Neck (Charged),60,60,50,5,15,0,20,5,100,100
Torso (Charged),25,25,15,0,5,0,10,0,0,100
Back (Charged),40,40,45,5,10,0,15,5,0,100
Forelegs (Charged),45,45,45,5,15,0,20,5,0,100
Hindlegs (Charged),25,25,15,0,5,0,10,0,0,100
Tail (Charged),45,45,45,5,10,0,15,5,0,100
